model,feature,importance
logistic_regression,market_volatility_21d,0.24945545769575492
logistic_regression,drawdown_63d,0.23943590109877658
logistic_regression,volatility_21d,0.21434386566263094
logistic_regression,price_vs_ma_63d,0.1530255516135899
logistic_regression,daily_range,0.12262915034756676
logistic_regression,volatility_63d,0.08523640609580337
logistic_regression,dollar_volume_log,0.07247020425336528
logistic_regression,ret_63d,0.04263544226788925
logistic_regression,volatility_5d,0.041628256348470255
logistic_regression,excess_ret_5d,0.041023213671593756
logistic_regression,ret_21d,0.039485285681067295
logistic_regression,volume_ratio_21d,0.03536341413006885
logistic_regression,market_ret_5d,0.033598838168980065
logistic_regression,open_close_return,0.022018321446981685
logistic_regression,price_vs_ma_21d,0.019091946010575653
logistic_regression,ret_5d,0.01805004328052876
logistic_regression,ret_1d,0.010118074375990833
logistic_regression,volume_zscore_63d,0.009328312888752794
logistic_regression,gap_return,0.001036749192387811
