Ticker,AssetType,first_date,last_date,n_days,avg_volume,median_price
AGG,ETF,2005-02-25,2017-11-10,3201,1263378.6163698845,92.135
DIA,ETF,2005-02-25,2017-11-10,3201,10481566.656357389,111.79
EEM,ETF,2005-02-25,2017-11-10,3201,59051471.27054045,36.571
EFA,ETF,2005-02-25,2017-11-10,3201,19068890.985004686,53.78
EWA,ETF,2005-02-25,2017-11-10,3201,3047392.963448922,18.87
EWC,ETF,2005-02-25,2017-11-10,3201,2031405.3867541393,25.145
EWG,ETF,2005-02-25,2017-11-10,3201,3175367.8294283035,22.92
EWJ,ETF,2005-02-25,2017-11-10,3201,7242806.271165261,44.007
EWU,ETF,2005-02-25,2017-11-10,3201,1096471.7950640426,30.219
EWZ,ETF,2005-02-25,2017-11-10,3201,16662700.397063417,42.26
FXI,ETF,2005-02-25,2017-11-10,3201,19925113.375820056,34.153
GDX,ETF,2006-05-22,2017-11-10,2890,26483514.07370242,35.953
GLD,ETF,2005-02-25,2017-11-10,3201,10019519.577944392,115.15
HYG,ETF,2007-04-11,2017-11-10,2668,5060978.75862069,70.112
IBB,ETF,2005-02-25,2017-11-10,3201,1164655.3811308965,96.213
IEF,ETF,2005-02-25,2017-11-10,3201,1089050.7575757576,87.225
IWM,ETF,2005-02-25,2017-11-10,3201,55273400.77257107,73.013
JNK,ETF,2007-12-04,2017-11-10,2502,6369455.472821742,30.1935
KRE,ETF,2006-06-22,2017-11-10,2868,3851092.089260809,33.6255
LQD,ETF,2005-02-25,2017-11-10,3201,1934944.3786316777,89.317
MUB,ETF,2007-09-10,2017-11-10,2563,268710.3550526727,95.643
QQQ,ETF,1999-03-10,2017-11-10,4701,80543780.71559243,45.656
SHY,ETF,2005-02-25,2017-11-10,3201,1216826.4379881287,81.667
SLV,ETF,2006-04-28,2017-11-10,2906,11687047.745010324,16.76
SMH,ETF,2005-02-25,2017-11-10,3201,10020354.445173383,30.584
SPY,ETF,2005-02-25,2017-11-10,3201,168053377.03311464,123.55
SQQQ,ETF,2010-02-11,2017-11-10,1952,1109700.4887295081,245.22
TIP,ETF,2005-02-25,2017-11-10,3201,830641.6479225243,100.61
TLT,ETF,2005-02-25,2017-11-10,3201,6553287.609809435,91.287
TQQQ,ETF,2010-02-11,2017-11-10,1952,5906255.824795082,28.5675
USO,ETF,2006-04-10,2017-11-10,2919,14401312.546420006,35.53
UVXY,ETF,2011-10-07,2017-11-10,1535,2253195.2482084692,12590.0
VEA,ETF,2007-07-26,2017-11-10,2594,3866079.1476484193,33.5485
VNQ,ETF,2005-02-25,2017-11-10,3201,2894413.5673227115,52.679
VOO,ETF,2010-09-14,2017-11-10,1804,1323228.9855875832,159.76
VTI,ETF,2005-02-25,2017-11-10,3201,2383105.631990003,63.009
VWO,ETF,2005-03-10,2017-11-10,3192,12838577.086466165,35.712500000000006
VXX,ETF,2009-01-30,2017-11-10,2212,3475283.8286618446,1175.3600000000001
XBI,ETF,2006-02-06,2017-11-10,2963,1781274.8839014512,24.014
XLB,ETF,2005-02-25,2017-11-10,3201,8520939.631052796,33.889
XLE,ETF,2005-02-25,2017-11-10,3201,22058019.042486724,61.868
XLF,ETF,2005-02-25,2017-11-10,3201,90567874.95720087,17.479
XLI,ETF,2005-02-25,2017-11-10,3201,11022747.321149642,32.762
XLK,ETF,2005-02-25,2017-11-10,3201,8138004.4767260235,23.4
XLP,ETF,2005-02-25,2017-11-10,3201,7307169.878787879,26.017
XLU,ETF,2005-02-25,2017-11-10,3201,9889644.932208685,30.192
XLV,ETF,2005-02-25,2017-11-10,3201,6922779.11184005,31.799
XLY,ETF,2005-02-25,2017-11-10,3201,5763199.482661668,35.77
AA,Stock,1970-01-02,2017-11-10,12074,3337756.800894484,16.474
AAL,Stock,2013-12-10,2017-11-10,989,10045407.467138523,41.231
ABBV,Stock,2013-01-04,2017-11-10,1224,8807200.276960785,54.781000000000006
ABT,Stock,1983-04-06,2017-11-10,8726,9892687.781343112,16.209
ACN,Stock,2005-02-25,2017-11-10,3201,3779234.6373008434,46.778
ADBE,Stock,1986-08-14,2017-11-10,7876,7099967.148044692,18.705
ADI,Stock,1984-07-19,2017-11-10,8398,2816489.4140271493,22.409
ADP,Stock,1983-04-06,2017-11-10,8724,2510276.7505731317,25.8515
AEP,Stock,1970-01-02,2017-11-10,12075,1356289.4157349896,14.365
AGN,Stock,1993-02-17,2017-11-10,6228,1276176.9786448297,36.224000000000004
AIG,Stock,1984-09-07,2017-11-10,8365,3280691.4115959355,169.32
ALL,Stock,1993-06-03,2017-11-10,6154,3090568.6478713034,32.5355
AMAT,Stock,1984-09-07,2017-11-10,8364,24738353.157699667,10.647
AMD,Stock,1983-03-21,2017-11-10,8737,11642183.220556255,9.15
AMGN,Stock,1984-09-07,2017-11-10,8364,10349492.18137255,43.141
AMZN,Stock,1997-05-16,2017-11-10,5153,7837324.899864157,70.7
ANTM,Stock,1993-01-28,2017-11-10,6240,2423549.827403846,44.734
AON,Stock,2005-02-25,2017-11-10,3201,2037140.0577944391,44.33
APD,Stock,1983-04-06,2017-11-10,8725,1098497.213409742,31.392
ATVI,Stock,2005-02-25,2017-11-10,3201,9984818.064979693,11.474
AVGO,Stock,2009-08-05,2017-11-10,2083,2451902.555448872,39.74
AXP,Stock,1972-01-07,2017-11-10,11556,5451680.15593631,7.4106
BA,Stock,1970-01-02,2017-11-10,12074,3617488.386781514,19.431
BAC,Stock,1986-05-29,2017-11-10,7929,54419994.619245805,15.169
BHP,Stock,2005-02-25,2017-11-10,3201,4060301.263042799,48.34
BIIB,Stock,1991-09-17,2017-11-10,6586,2734962.45232311,43.435
BK,Stock,1984-09-07,2017-11-10,8365,4257128.4747160785,23.626
BLK,Stock,2005-02-25,2017-11-10,3201,679650.3748828492,167.88
BMY,Stock,1977-01-03,2017-11-10,10307,6957147.613563597,16.538
BRK-B,Stock,1996-05-09,2017-11-10,5415,27890478.004062787,62.39
BSX,Stock,1992-05-19,2017-11-10,6418,7940859.72062948,12.405000000000001
C,Stock,1970-01-02,2017-11-10,12074,7161776.515901938,34.247
CAT,Stock,1970-01-02,2017-11-10,12075,4131474.0693167704,7.6365
CB,Stock,1993-03-26,2017-11-10,6201,1616791.2978551846,37.445
CHKP,Stock,1996-06-28,2017-11-10,5376,3111078.304501488,25.615000000000002
CI,Stock,1982-03-31,2017-11-10,8981,1828515.5092974056,20.071
CL,Stock,1977-01-03,2017-11-10,10305,4293760.295099466,11.586
CMCSA,Stock,1988-07-07,2017-11-10,7396,18414414.333964307,8.5768
CME,Stock,2005-02-25,2017-11-10,3201,3996660.864104967,60.882
CMG,Stock,2006-01-25,2017-11-10,2971,741433.1666105689,299.0
COF,Stock,1994-11-16,2017-11-10,5784,3818689.529910097,48.4255
COP,Stock,1982-01-04,2017-11-10,9041,7031179.340227851,13.302
COST,Stock,1986-07-09,2017-11-10,7903,3001015.245223333,31.017
CRM,Stock,2005-02-25,2017-11-10,3201,7293123.872539831,32.59
CSCO,Stock,1990-03-26,2017-11-10,6964,71469592.13670304,15.716999999999999
CVS,Stock,1984-12-17,2017-11-10,8292,4687881.995899662,16.456
CVX,Stock,1970-01-02,2017-11-10,12073,4375597.763024932,12.581
